ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,2209.jpg, 0.097, 0.108, 0.369, 0.330, 0.261, 0.330
iaps,2210.jpg, 0.211, 0.272, 0.592, 0.277, 0.251, 0.248
iaps,2211.jpg, 0.510, 0.386, 0.298, 0.316, 0.550, 0.288
iaps,2214.jpg, 0.116, 0.090, 0.645, 0.236, 0.749, 0.356
iaps,2215.jpg, 0.087, 0.110, 0.564, 0.324, 0.683, 0.307
iaps,2216.jpg, 0.141, 0.202, 0.254, 0.337, 0.315, 0.415
iaps,2217.jpg, 0.347, 0.292, 0.570, 0.324, 0.509, 0.336
iaps,2220.jpg, 0.058, 0.123, 0.734, 0.170, 0.667, 0.191
iaps,2221.jpg, 0.191, 0.291, 0.413, 0.260, 0.226, 0.207
iaps,2222.jpg, 0.727, 0.285, 0.432, 0.193, 0.316, 0.312
iaps,2224.jpg, 0.152, 0.230, 0.298, 0.330, 0.274, 0.341
iaps,2230.jpg, 0.230, 0.379, 0.416, 0.393, 0.158, 0.250
iaps,2235.jpg, 0.295, 0.324, 0.551, 0.261, 0.418, 0.270
iaps,2240.jpg, 0.394, 0.191, 0.304, 0.254, 0.519, 0.303
iaps,2250.jpg, 0.154, 0.098, 0.341, 0.319, 0.790, 0.306
iaps,2260.jpg, 0.190, 0.143, 0.417, 0.246, 0.601, 0.329
iaps,2270.jpg, 0.114, 0.089, 0.404, 0.308, 0.449, 0.185
iaps,2271.jpg, 0.063, 0.103, 0.413, 0.449, 0.238, 0.342
iaps,2272.jpg, 0.304, 0.367, 0.458, 0.255, 0.492, 0.211
iaps,2273.jpg, 0.136, 0.156, 0.164, 0.153, 0.756, 0.249
iaps,2274.jpg, 0.301, 0.300, 0.327, 0.202, 0.479, 0.259
iaps,2276.jpg, 0.105, 0.135, 0.370, 0.426, 0.184, 0.313
iaps,2278.jpg, 0.430, 0.358, 0.388, 0.259, 0.438, 0.284
iaps,2279.jpg, 0.108, 0.127, 0.414, 0.154, 0.662, 0.254
iaps,2280.jpg, 0.070, 0.095, 0.351, 0.366, 0.156, 0.261
iaps,2299.jpg, 0.661, 0.247, 0.462, 0.218, 0.396, 0.306
iaps,2300.jpg, 0.246, 0.227, 0.390, 0.229, 0.510, 0.270
iaps,2301.jpg, 0.185, 0.235, 0.380, 0.189, 0.558, 0.224
iaps,2302.jpg, 0.195, 0.208, 0.346, 0.234, 0.563, 0.275
iaps,2303.jpg, 0.085, 0.130, 0.485, 0.472, 0.216, 0.317
iaps,2304.jpg, 0.130, 0.215, 0.252, 0.318, 0.216, 0.270
iaps,2305.jpg, 0.253, 0.354, 0.360, 0.187, 0.447, 0.336
iaps,2306.jpg, 0.316, 0.269, 0.262, 0.253, 0.705, 0.314
iaps,2308.jpg, 0.138, 0.172, 0.385, 0.206, 0.640, 0.242
iaps,2309.jpg, 0.181, 0.247, 0.642, 0.325, 0.411, 0.274
iaps,2310.jpg, 0.121, 0.163, 0.447, 0.453, 0.113, 0.237
iaps,2311.jpg, 0.152, 0.255, 0.630, 0.273, 0.684, 0.280
iaps,2312.jpg, 0.252, 0.315, 0.358, 0.235, 0.438, 0.271
iaps,2314.jpg, 0.272, 0.241, 0.215, 0.197, 0.457, 0.265
iaps,2320.jpg, 0.050, 0.115, 0.306, 0.337, 0.271, 0.347
iaps,2331.jpg, 0.121, 0.187, 0.259, 0.308, 0.268, 0.343
iaps,2332.jpg, 0.301, 0.347, 0.409, 0.325, 0.484, 0.301
iaps,2339.jpg, 0.394, 0.254, 0.407, 0.186, 0.537, 0.247
iaps,2340.jpg, 0.173, 0.296, 0.670, 0.242, 0.423, 0.274
iaps,2341.jpg, 0.248, 0.199, 0.590, 0.316, 0.392, 0.268
iaps,2342.jpg, 0.506, 0.375, 0.208, 0.167, 0.555, 0.242
iaps,2344.jpg, 0.087, 0.200, 0.354, 0.426, 0.235, 0.325
iaps,2345.1.jpg, 0.161, 0.212, 0.379, 0.230, 0.662, 0.313
iaps,2345.jpg, 0.180, 0.251, 0.451, 0.177, 0.635, 0.247
iaps,2346.jpg, 0.216, 0.324, 0.303, 0.333, 0.263, 0.308
iaps,2347.jpg, 0.313, 0.310, 0.317, 0.240, 0.565, 0.211
iaps,2351.jpg, 0.140, 0.278, 0.523, 0.412, 0.330, 0.312
iaps,2352.1.jpg, 0.075, 0.128, 0.643, 0.283, 0.594, 0.331
iaps,2352.2.jpg, 0.085, 0.114, 0.609, 0.302, 0.661, 0.360
iaps,2352.jpg, 0.075, 0.128, 0.642, 0.282, 0.594, 0.331
iaps,2357.jpg, 0.673, 0.151, 0.369, 0.267, 0.447, 0.391
iaps,2358.jpg, 0.681, 0.268, 0.180, 0.199, 0.679, 0.286
iaps,2359.jpg, 0.433, 0.366, 0.207, 0.245, 0.633, 0.215
iaps,2360.jpg, 0.297, 0.339, 0.542, 0.281, 0.604, 0.373
iaps,2362.jpg, 0.448, 0.244, 0.169, 0.170, 0.785, 0.209
iaps,2370.jpg, 0.143, 0.205, 0.299, 0.332, 0.337, 0.373
iaps,2372.jpg, 0.172, 0.246, 0.385, 0.338, 0.313, 0.329
iaps,2373.jpg, 0.100, 0.185, 0.448, 0.356, 0.344, 0.338
iaps,2374.jpg, 0.340, 0.269, 0.395, 0.225, 0.444, 0.289
iaps,2375.1.jpg, 0.229, 0.313, 0.209, 0.250, 0.235, 0.302
iaps,2375.2.jpg, 0.235, 0.308, 0.184, 0.259, 0.191, 0.268
iaps,2377.jpg, 0.287, 0.252, 0.311, 0.291, 0.468, 0.315
iaps,2381.jpg, 0.150, 0.311, 0.163, 0.233, 0.121, 0.198
iaps,2382.jpg, 0.364, 0.364, 0.386, 0.260, 0.602, 0.227
iaps,2383.jpg, 0.317, 0.381, 0.525, 0.257, 0.501, 0.294
iaps,2384.jpg, 0.292, 0.126, 0.375, 0.255, 0.589, 0.152
iaps,2385.jpg, 0.061, 0.081, 0.433, 0.429, 0.215, 0.330
iaps,2387.jpg, 0.303, 0.378, 0.451, 0.271, 0.369, 0.320
iaps,2388.jpg, 0.157, 0.172, 0.354, 0.184, 0.590, 0.365
iaps,2389.jpg, 0.266, 0.151, 0.737, 0.305, 0.331, 0.321
iaps,2390.jpg, 0.379, 0.304, 0.335, 0.211, 0.427, 0.321
iaps,2391.jpg, 0.461, 0.205, 0.599, 0.341, 0.275, 0.293
iaps,2392.jpg, 0.478, 0.332, 0.252, 0.242, 0.639, 0.236
iaps,2393.jpg, 0.479, 0.337, 0.336, 0.205, 0.338, 0.314
iaps,2394.jpg, 0.408, 0.331, 0.146, 0.174, 0.437, 0.385
iaps,2395.jpg, 0.296, 0.347, 0.334, 0.258, 0.330, 0.288
iaps,2396.jpg, 0.282, 0.266, 0.352, 0.295, 0.436, 0.302
iaps,2397.jpg, 0.154, 0.060, 0.462, 0.256, 0.421, 0.256
iaps,2398.jpg, 0.471, 0.285, 0.289, 0.237, 0.617, 0.300
iaps,2399.jpg, 0.174, 0.242, 0.453, 0.318, 0.255, 0.273
iaps,2400.jpg, 0.455, 0.268, 0.292, 0.253, 0.587, 0.289
iaps,2410.jpg, 0.691, 0.170, 0.319, 0.217, 0.249, 0.211
iaps,2411.jpg, 0.261, 0.224, 0.303, 0.228, 0.738, 0.253
iaps,2435.jpg, 0.283, 0.293, 0.543, 0.249, 0.370, 0.274
iaps,2440.jpg, 0.079, 0.179, 0.181, 0.286, 0.123, 0.218
iaps,2441.jpg, 0.410, 0.329, 0.280, 0.178, 0.584, 0.360
iaps,2442.jpg, 0.255, 0.352, 0.386, 0.261, 0.472, 0.361
iaps,2445.jpg, 0.291, 0.385, 0.356, 0.274, 0.592, 0.254
iaps,2446.jpg, 0.415, 0.403, 0.325, 0.180, 0.464, 0.242
iaps,2455.jpg, 0.515, 0.265, 0.526, 0.342, 0.513, 0.221
iaps,2456.jpg, 0.372, 0.289, 0.436, 0.331, 0.492, 0.292
iaps,2457.jpg, 0.176, 0.189, 0.472, 0.248, 0.428, 0.286
iaps,2458.jpg, 0.132, 0.116, 0.294, 0.151, 0.627, 0.228
iaps,2480.jpg, 0.096, 0.157, 0.160, 0.256, 0.239, 0.303
iaps,2484.jpg, 0.512, 0.259, 0.337, 0.160, 0.560, 0.188
iaps,2485.jpg, 0.111, 0.200, 0.219, 0.266, 0.219, 0.315
iaps,2487.jpg, 0.234, 0.332, 0.234, 0.275, 0.284, 0.319
