"file","description","category","group","valence_mean","valence_sd","arousal_mean","arousal_sd","craving_mean","craving_sd","related_mean","related_sd","typicality_mean","typicality_sd","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd"
"control_tools_hands51.jpg","Neutral Tools with Hands, complex","4","control",5.9,1.61896653195146,3.4,1.95744193971837,8.7,18.987807722464,0.05,0.223606797749979,22.7,30.8734258068753,0.39,0.359,0.38,0.203,0.508,0.312
"control_tools_hands52.jpg","Neutral Tools with Hands, complex","4","control",5.9,1.74416319854476,3.55,2.08944716939295,8.15,11.8289341958828,0,0,21.45,27.5670951832453,0.114,0.234,0.521,0.24,0.658,0.273
"control_tools_hands53.jpg","Neutral Tools with Hands, complex","4","control",5.72222222222222,1.7423971167384,3.72222222222222,1.9645551975404,6.44444444444444,15.9750622652647,0.0555555555555556,0.235702260395516,29.2222222222222,30.1185023367122,0.209,0.256,0.242,0.175,0.606,0.262
"control_tools_hands54.jpg","Neutral Tools with Hands, complex","4","control",5.85,2.00722379629703,3.55,2.01246117974981,4.65,9.22967183085418,0,0,24.2,34.0256868912452,0.107,0.088,0.479,0.301,0.69,0.278
"control_tools_hands55.jpg","Neutral Tools with Hands, complex","4","control",5.52631578947368,1.50437957136384,3.57894736842105,2.41098848961915,13.8947368421053,25.5905684380487,0,0,40.4210526315789,37.6848271699687,0.431,0.366,0.083,0.098,0.34,0.178
"control_tools_hands56.jpg","Neutral Tools with Hands, complex","4","control",5.45,1.50350467767462,3.95,1.79105966869954,7.25,12.9974693893202,0,0,41.7,44.2184767287446,0.065,0.178,0.127,0.232,0.195,0.338
"control_tools_hands57.jpg","Neutral Tools with Hands, complex","4","control",6,1.68585446084705,3.7,2.20286894275337,8.15,14.9992105055391,0,0,32.6,32.3507097457325,0.436,0.228,0.254,0.247,0.53,0.267
"control_tools_hands58.jpg","Neutral Tools with Hands, complex","4","control",5.68421052631579,1.63478274393971,2.84210526315789,1.70825310038377,3.73684210526316,4.99824530614003,0,0,23.8421052631579,26.9160488224131,0.355,0.282,0.349,0.248,0.578,0.252
"control_tools_hands59.jpg","Neutral Tools with Hands, complex","4","control",5.25,1.86024899295483,3.3,1.83819133074363,3.2,4.12438193136735,0,0,10.35,12.683495284486,0.202,0.253,0.337,0.226,0.641,0.261
"control_tools_hands60.jpg","Neutral Tools with Hands, complex","4","control",5.75,1.51744244666721,3.2,1.82381901225798,10.1,15.5627761019684,0,0,39.85,33.2380172313826,0.257,0.275,0.274,0.178,0.601,0.212
"control_tools13.jpg","Neutral Tools","2","control",5.2,1.76515990031618,3.25,2.24487720916101,6.6,11.6546805596451,0,0,21.3,27.1120482054517,0.617,0.204,0.317,0.184,0.241,0.348
"control_tools14.jpg","Neutral Tools","2","control",5.4,1.46539019413009,3.05,1.7614288458372,6.1,8.93779673780489,0.05,0.223606797749979,34.65,31.9098648333742,0.292,0.208,0.227,0.11,0.163,0.22
"control_tools15.jpg","Neutral Tools","2","control",5.7,1.75018795983084,3.35,1.84319516629483,4.7,11.0410716489793,0,0,24.65,29.1678896986684,0.025,0.128,0.028,0.138,0.966,0.118
"control_tools16.jpg","Neutral Tools","2","control",4.52941176470588,2.06511643312258,3.22222222222222,1.9570552775732,8.72222222222222,19.6193348677674,0.0555555555555556,0.235702260395516,35.5,37.7581311850605,0,0,0,0,0.977,0.105
"control_tools17.jpg","Neutral Tools","2","control",5.45,1.23437604097225,3.55,2.01246117974981,6.05,12.3947144932193,0,0,29.45,34.298189303135,0.247,0.298,0.204,0.083,0.719,0.19
"control_tools18.jpg","Neutral Tools","2","control",5.27777777777778,1.77583635823851,2.94444444444444,1.95454890906022,5.27777777777778,7.06112435269221,0,0,22.6111111111111,33.1345543626357,0.101,0.197,0.366,0.161,0.508,0.233
"control_tools19.jpg","Neutral Tools","2","control",5.38888888888889,1.6138696240399,4,2.19625349442288,14.0555555555556,26.3605592688645,0.0555555555555556,0.235702260395516,28.3888888888889,36.5370704400321,0.038,0.085,0.127,0.238,0.166,0.309
"control_tools20.jpg","Neutral Tools","2","control",4.89473684210526,1.91179778225468,2.57894736842105,1.92399438303882,7.15789473684211,15.5251164171507,0,0,28.1578947368421,32.2701498772382,0.045,0.13,0.037,0.101,0.056,0.149
"control_tools21.jpg","Neutral Tools","2","control",5.15789473684211,1.21395395733377,3.47368421052632,1.95415287280509,9.05263157894737,18.4224310261236,0,0,21.4736842105263,24.279320009361,0.092,0.22,0.08,0.201,0.049,0.125
"control_tools22.jpg","Neutral Tools","2","control",5,1.85592145427667,3.47368421052632,1.8964417280977,11.1578947368421,21.2714288239066,0,0,16.5263157894737,23.5710944003046,0.098,0.213,0.06,0.161,0.129,0.246
"control_tools23.jpg","Neutral Tools","2","control",5.5,1.8864844365676,3.16666666666667,1.91741247211843,8.22222222222222,15.6112913719735,0,0,43.4444444444444,39.4136766680899,0.008,0.071,0,0.004,0.333,0.224
"control_tools24.jpg","Neutral Tools","2","control",5.42105263157895,1.92399438303882,3.57894736842105,2.3408400551389,11,18.0954260641866,0.0526315789473684,0.229415733870562,29.4736842105263,32.2703310953862,0.027,0.058,0.072,0.168,0.199,0.345
"substance_activities_faces089.jpg","Drug Activities and Faces","5","drug",4.55,2.78104486233426,6.55,1.9324105480761,92,10.819086448446,1,0,92.35,9.09757052589779,0.371,0.343,0.613,0.354,0.128,0.199
"substance_activities_faces090.jpg","Drug Activities and Faces","5","drug",4.52631578947368,2.56836353113615,6.42105263157895,2.06332497234936,89.4736842105263,12.4560044469977,1,0,94.2631578947368,8.94950094985536,0.166,0.311,0.468,0.369,0.197,0.249
"substance_activities_faces091.jpg","Drug Activities and Faces","5","drug",3.78947368421053,2.65788026167096,6.21052631578947,2.22558225511191,90.0526315789474,11.525207562414,1,0,93.3157894736842,8.26002846093393,0.165,0.243,0.434,0.245,0.304,0.199
